


group_span_2(m), Y
0.000170225, 0.0420284
0.000170449, 0.0691453
0.000170674, -0.0012362
0.000170899, -0.033606
0.000171124, -0.029639
0.000171348, 0.00453296
0.000171573, 0.037926
0.000171798, 0.0386743
0.000172022, -0.0371131
0.000172247, -0.0205678
0.000172472, -0.0193938
0.000172697, 0.0206142
0.000172921, 0.0325796
0.000173146, -2.0848e-05
0.000173371, -0.035326
0.000173596, -0.0178871
0.00017382, 0.0112386
0.000174045, 0.0380458
0.00017427, 0.0111205
0.000174494, -0.0245368
0.000174719, -0.0230416
0.000174944, 0.014349
0.000175169, 0.0274855
0.000175393, 0.01261
0.000175618, -0.0329051
0.000175843, -0.00867778
0.000176067, 0.00200006
0.000176292, 0.0181999
0.000176517, -0.00045226
0.000176742, -0.00201109
0.000176966, -0.0103604
0.000177191, 0.00037652
0.000177416, 0.00412375
0.00017764, 0.00602076
0.000177865, 0.00253153
0.00017809, -0.00829706
0.000178315, -0.00522429
0.000178539, 0.00594735
0.000178764, 0.00220737
0.000178989, -0.00358472
0.000179213, -0.00469689
0.000179438, 0.000959777
0.000179663, 0.00567998
0.000179888, 0.000338941
0.000180112, -0.000351641
0.000180337, -0.00328387
0.000180562, 9.2517e-05
0.000180787, 0.0078077
0.000181011, 0.00426282
0.000181236, -0.0025373
0.000181461, -0.00823456
0.000181685, -0.0121853
0.00018191, 0.00311138
0.000182135, 0.0247652
0.00018236, -0.0136458
0.000182584, -0.00881662
0.000182809, -0.0226917
0.000183034, 0.0134849
0.000183258, 0.0208628
0.000183483, -0.00990452
0.000183708, -0.0140662
0.000183933, -0.0103959
0.000184157, 0.000614612
0.000184382, 0.0211349
0.000184607, 0.0161593
0.000184831, -0.0198948
0.000185056, -0.0327564
0.000185281, -0.00684004
0.000185506, 0.0356705
0.00018573, 0.0189439
0.000185955, -0.0032612
0.00018618, -0.0454038
0.000186404, 0.00948896
0.000186629, 0.0138931
0.000186854, 0.0417267
0.000187079, -0.0115771
0.000187303, -0.0265184
0.000187528, -0.0240277
0.000187753, 0.0140654
0.000187978, 0.0319224
0.000188202, 0.0113603
0.000188427, -0.0170267
0.000188652, -0.038868
0.000188876, 0.0118644
0.000189101, 0.0216051
0.000189326, 0.0292333
0.000189551, -0.0148784
0.000189775, -0.0343718
0.00019, -0.0236107



group_span_2(m), Y
0.00017, 0.314493
0.000170225, -0.151831
0.000170449, -0.043292
0.000170674, 0.209696
0.000170899, -0.359512
0.000171124, 0.365609
