

wavelength(nm), Y
1570.1, -4.25955
1570.1, -4.2509
1570.09, -4.24236
1570.09, -4.23394
1570.09, -4.22562
1570.09, -4.21742
1570.09, -4.20932
1570.09, -4.20134
1570.09, -4.19347
1570.09, -4.18571
1570.09, -4.17806
1570.08, -4.17052
1570.08, -4.16309
1570.08, -4.15577
1570.08, -4.14855
1570.08, -4.14145
1570.08, -4.13446
1570.08, -4.12757
1570.08, -4.1208
1570.07, -4.11413
1570.07, -4.10757
1570.07, -4.10112
1570.07, -4.09478
1570.07, -4.08855
1570.07, -4.08242
1570.07, -4.07641
1570.07, -4.0705
1570.06, -4.06469
1570.06, -4.059
1570.06, -4.05341
1570.06, -4.04793
1570.06, -4.04255
1570.06, -4.03728
1570.06, -4.03212
1570.06, -4.02707
1570.06, -4.02212
1570.05, -4.01728
1570.05, -4.01254
1570.05, -4.00791
1570.05, -4.00339
1570.05, -3.99897
1570.05, -3.99466
1570.05, -3.99045
1570.05, -3.98635
1570.04, -3.98235
1570.04, -3.97846
1570.04, -3.97467
1570.04, -3.97099
1570.04, -3.96742
1570.04, -3.96395
1570.04, -3.96058
1570.04, -3.95732
1570.03, -3.95416
1570.03, -3.95111
1570.03, -3.94817
1570.03, -3.94532
1570.03, -3.94259
1570.03, -3.93995
1570.03, -3.93742
1570.03, -3.935
1570.02, -3.93268
1570.02, -3.93046
1570.02, -3.92835
1570.02, -3.92634
1570.02, -3.92443
1570.02, -3.92263
1570.02, -3.92093
1570.02, -3.91934
1570.02, -3.91785
1570.01, -3.91647
1570.01, -3.91518
1570.01, -3.91401
1570.01, -3.91293
1570.01, -3.91196
1570.01, -3.91109
1570.01, -3.91033
1570.01, -3.90967
1570, -3.90912
1570, -3.90866
1570, -3.90831
1570, -3.90807
1570, -3.90793
1570, -3.90789
1570, -3.90795
1570, -3.90812
1569.99, -3.90839
1569.99, -3.90877
1569.99, -3.90925
1569.99, -3.90983
1569.99, -3.91052
1569.99, -3.91131
1569.99, -3.91221
1569.99, -3.9132
1569.98, -3.91431
1569.98, -3.91551
1569.98, -3.91682
1569.98, -3.91823
1569.98, -3.91975
1569.98, -3.92137
1569.98, -3.92309
1569.98, -3.92492
1569.98, -3.92686
1569.97, -3.92889
1569.97, -3.93103
1569.97, -3.93328
1569.97, -3.93563
1569.97, -3.93808
1569.97, -3.94064
1569.97, -3.9433
1569.97, -3.94607
1569.96, -3.94894
1569.96, -3.95191
1569.96, -3.95499
1569.96, -3.95818
1569.96, -3.96147
1569.96, -3.96486
1569.96, -3.96836
1569.96, -3.97197
1569.95, -3.97568
1569.95, -3.97949
1569.95, -3.98341
1569.95, -3.98744
1569.95, -3.99157
1569.95, -3.99581
1569.95, -4.00015
1569.95, -4.0046
1569.94, -4.00915
1569.94, -4.01381
1569.94, -4.01858
1569.94, -4.02346
1569.94, -4.02844
1569.94, -4.03352
1569.94, -4.03871
1569.94, -4.04401
1569.94, -4.04942
1569.93, -4.05494
1569.93, -4.06056
1569.93, -4.06629
1569.93, -4.07212
1569.93, -4.07807
1569.93, -4.08412
1569.93, -4.09028
1569.93, -4.09654
1569.92, -4.10292
1569.92, -4.1094
1569.92, -4.116
1569.92, -4.1227
1569.92, -4.12951
1569.92, -4.13643
1569.92, -4.14346
1569.92, -4.1506
1569.91, -4.15785
1569.91, -4.1652
1569.91, -4.17267
1569.91, -4.18025
1569.91, -4.18794
1569.91, -4.19574
1569.91, -4.20365
1569.91, -4.21167
1569.91, -4.2198
1569.9, -4.22804
1569.9, -4.2364
1569.9, -4.24487
1569.9, -4.25345
1569.9, -4.26214
1569.9, -4.27094
1569.9, -4.27986
1569.9, -4.28889
1569.89, -4.29803
1569.89, -4.30729
1569.89, -4.31666
1569.89, -4.32614
1569.89, -4.33574
1569.89, -4.34545
1569.89, -4.35528
1569.89, -4.36522
1569.88, -4.37528
1569.88, -4.38545
1569.88, -4.39574
1569.88, -4.40615
1569.88, -4.41667
1569.88, -4.4273
1569.88, -4.43806
1569.88, -4.44893
1569.87, -4.45992
1569.87, -4.47103
1569.87, -4.48225
1569.87, -4.4936
1569.87, -4.50506
1569.87, -4.51664
1569.87, -4.52834
1569.87, -4.54016
1569.87, -4.5521
1569.86, -4.56416
1569.86, -4.57635
1569.86, -4.58865
1569.86, -4.60107
1569.86, -4.61362
1569.86, -4.62629
1569.86, -4.63908
1569.86, -4.65199
1569.85, -4.66502
1569.85, -4.67818
1569.85, -4.69147
1569.85, -4.70488
1569.85, -4.71841
1569.85, -4.73207
1569.85, -4.74585
1569.85, -4.75976
1569.84, -4.77379
1569.84, -4.78795
1569.84, -4.80224
1569.84, -4.81666
1569.84, -4.8312
1569.84, -4.84588
1569.84, -4.86068
1569.84, -4.87561
1569.83, -4.89067
1569.83, -4.90586
1569.83, -4.92118
1569.83, -4.93663
1569.83, -4.95222
1569.83, -4.96793
1569.83, -4.98378
1569.83, -4.99976
1569.83, -5.01588
1569.82, -5.03213
